count(borrower),imd2015,devontown
2697,1,0
1996,10,0
5005,2,0
4958,3,0
8106,4,0
6535,5,0
9174,6,0
3990,7,0
6421,8,0
7762,9,0
2036,4,Ashburton/Buckfastleigh
381,5,Ashburton/Buckfastleigh
537,6,Ashburton/Buckfastleigh
430,8,Ashburton/Buckfastleigh
1546,5,Axminster
1482,6,Axminster
397,7,Axminster
1132,8,Axminster
1096,1,Barnstaple
1329,2,Barnstaple
2592,3,Barnstaple
2537,4,Barnstaple
2923,5,Barnstaple
953,6,Barnstaple
2653,7,Barnstaple
2592,8,Barnstaple
1597,9,Barnstaple
2737,2,Bideford/Northam
1331,3,Bideford/Northam
4073,4,Bideford/Northam
1875,5,Bideford/Northam
1371,6,Bideford/Northam
1315,7,Bideford/Northam
593,8,Bideford/Northam
1,no location,Bideford/Northam
770,5,Braunton
572,7,Braunton
2532,8,Braunton
1329,9,Braunton
665,10,Crediton
386,3,Crediton
1423,4,Crediton
2877,5,Crediton
1510,6,Crediton
826,8,Crediton
408,10,Cullompton
2133,4,Cullompton
49,5,Cullompton
1754,6,Cullompton
2186,7,Cullompton
932,8,Cullompton
780,9,Cullompton
416,3,Dartmouth
246,5,Dartmouth
3151,6,Dartmouth
947,9,Dartmouth
2232,3,Dawlish
524,4,Dawlish
1491,5,Dawlish
1571,6,Dawlish
684,7,Dawlish
893,10,Exeter
394,4,Exeter
2606,6,Exeter
1279,7,Exeter
1076,8,Exeter
129,9,Exeter
2535,10,Exmouth
2380,3,Exmouth
1809,4,Exmouth
1342,5,Exmouth
3286,6,Exmouth
3093,8,Exmouth
5300,9,Exmouth
1800,4,Great Torrington
1313,5,Great Torrington
650,6,Great Torrington
437,8,Great Torrington
1007,3,Holsworthy
2145,4,Holsworthy
282,5,Holsworthy
419,10,Honiton
1366,4,Honiton
977,5,Honiton
1685,6,Honiton
1635,8,Honiton
1123,1,Ilfracombe
1433,2,Ilfracombe
1103,3,Ilfracombe
898,4,Ilfracombe
2235,5,Ilfracombe
711,6,Ilfracombe
2075,10,Ivybridge
1347,5,Ivybridge
3040,6,Ivybridge
819,7,Ivybridge
1051,8,Ivybridge
1712,9,Ivybridge
924,4,Kingsbridge
556,5,Kingsbridge
3630,6,Kingsbridge
1542,7,Kingsbridge
492,9,Kingsbridge
879,4,Lynton and Lynmouth
38,5,Lynton and Lynmouth
170,5,Moretonhampstead
105,6,Moretonhampstead
1172,7,Moretonhampstead
2577,10,Newton Abbot
1147,2,Newton Abbot
1745,3,Newton Abbot
2251,4,Newton Abbot
2749,5,Newton Abbot
5635,6,Newton Abbot
3443,7,Newton Abbot
2206,8,Newton Abbot
1339,9,Newton Abbot
4831,4,Okehampton
1460,5,Okehampton
1206,6,Okehampton
1471,7,Okehampton
536,10,Ottery St Mary
356,6,Ottery St Mary
1339,7,Ottery St Mary
1628,8,Ottery St Mary
1195,9,Ottery St Mary
82,2,Outside DCC - Torbay
44,3,Outside DCC - Torbay
41,4,Outside DCC - Torbay
13,5,Outside DCC - Torbay
48,6,Outside DCC - Torbay
1950,5,Seaton
1102,7,Seaton
755,8,Seaton
1868,9,Seaton
1047,10,Sidmouth
818,5,Sidmouth
254,6,Sidmouth
1327,7,Sidmouth
2197,8,Sidmouth
2173,9,Sidmouth
3084,4,South Molton
1293,5,South Molton
745,6,South Molton
572,10,Tavistock
585,3,Tavistock
1944,4,Tavistock
2764,5,Tavistock
2607,6,Tavistock
901,7,Tavistock
823,8,Tavistock
583,9,Tavistock
933,2,Teignmouth
1411,3,Teignmouth
691,4,Teignmouth
1127,7,Teignmouth
1884,8,Teignmouth
1211,9,Teignmouth
3150,3,Tiverton
3448,4,Tiverton
1929,5,Tiverton
759,6,Tiverton
2363,7,Tiverton
2089,8,Tiverton
3377,4,Totnes
2443,5,Totnes
1199,6,Totnes
1758,7,Totnes
115,8,Totnes
10608,no location,no location
