num_borrowers,agenew,devontown
3310,,0
118,0,0
352,1,0
810,10,0
1,100,0
3,101,0
2,105,0
769,11,0
2,112,0
7,114,0
12,115,0
25,116,0
680,12,0
603,13,0
516,14,0
469,15,0
428,16,0
510,17,0
692,18,0
661,19,0
515,2,0
771,20,0
832,21,0
966,22,0
1085,23,0
1082,24,0
1073,25,0
1069,26,0
1101,27,0
1261,28,0
1166,29,0
627,3,0
1158,30,0
1074,31,0
1062,32,0
1001,33,0
1062,34,0
985,35,0
984,36,0
996,37,0
889,38,0
811,39,0
774,4,0
842,40,0
787,41,0
738,42,0
729,43,0
712,44,0
689,45,0
681,46,0
604,47,0
598,48,0
590,49,0
834,5,0
526,50,0
548,51,0
555,52,0
552,53,0
448,54,0
424,55,0
469,56,0
430,57,0
418,58,0
446,59,0
859,6,0
429,60,0
401,61,0
414,62,0
432,63,0
431,64,0
472,65,0
441,66,0
418,67,0
449,68,0
465,69,0
913,7,0
477,70,0
329,71,0
330,72,0
284,73,0
265,74,0
268,75,0
230,76,0
206,77,0
189,78,0
142,79,0
892,8,0
159,80,0
126,81,0
126,82,0
104,83,0
87,84,0
86,85,0
83,86,0
69,87,0
62,88,0
25,89,0
865,9,0
34,90,0
32,91,0
30,92,0
16,93,0
20,94,0
8,95,0
12,96,0
5,97,0
2,98,0
3,99,0
197,,Ashburton/Buckfastleigh
8,0,Ashburton/Buckfastleigh
13,1,Ashburton/Buckfastleigh
68,10,Ashburton/Buckfastleigh
96,11,Ashburton/Buckfastleigh
1,112,Ashburton/Buckfastleigh
1,115,Ashburton/Buckfastleigh
81,12,Ashburton/Buckfastleigh
63,13,Ashburton/Buckfastleigh
54,14,Ashburton/Buckfastleigh
50,15,Ashburton/Buckfastleigh
49,16,Ashburton/Buckfastleigh
31,17,Ashburton/Buckfastleigh
34,18,Ashburton/Buckfastleigh
27,19,Ashburton/Buckfastleigh
22,2,Ashburton/Buckfastleigh
33,20,Ashburton/Buckfastleigh
23,21,Ashburton/Buckfastleigh
29,22,Ashburton/Buckfastleigh
30,23,Ashburton/Buckfastleigh
34,24,Ashburton/Buckfastleigh
29,25,Ashburton/Buckfastleigh
24,26,Ashburton/Buckfastleigh
26,27,Ashburton/Buckfastleigh
36,28,Ashburton/Buckfastleigh
30,29,Ashburton/Buckfastleigh
42,3,Ashburton/Buckfastleigh
42,30,Ashburton/Buckfastleigh
27,31,Ashburton/Buckfastleigh
33,32,Ashburton/Buckfastleigh
42,33,Ashburton/Buckfastleigh
29,34,Ashburton/Buckfastleigh
35,35,Ashburton/Buckfastleigh
34,36,Ashburton/Buckfastleigh
47,37,Ashburton/Buckfastleigh
34,38,Ashburton/Buckfastleigh
35,39,Ashburton/Buckfastleigh
62,4,Ashburton/Buckfastleigh
32,40,Ashburton/Buckfastleigh
49,41,Ashburton/Buckfastleigh
39,42,Ashburton/Buckfastleigh
43,43,Ashburton/Buckfastleigh
49,44,Ashburton/Buckfastleigh
51,45,Ashburton/Buckfastleigh
43,46,Ashburton/Buckfastleigh
53,47,Ashburton/Buckfastleigh
43,48,Ashburton/Buckfastleigh
46,49,Ashburton/Buckfastleigh
55,5,Ashburton/Buckfastleigh
42,50,Ashburton/Buckfastleigh
56,51,Ashburton/Buckfastleigh
37,52,Ashburton/Buckfastleigh
47,53,Ashburton/Buckfastleigh
37,54,Ashburton/Buckfastleigh
34,55,Ashburton/Buckfastleigh
29,56,Ashburton/Buckfastleigh
31,57,Ashburton/Buckfastleigh
34,58,Ashburton/Buckfastleigh
31,59,Ashburton/Buckfastleigh
61,6,Ashburton/Buckfastleigh
37,60,Ashburton/Buckfastleigh
29,61,Ashburton/Buckfastleigh
30,62,Ashburton/Buckfastleigh
34,63,Ashburton/Buckfastleigh
41,64,Ashburton/Buckfastleigh
38,65,Ashburton/Buckfastleigh
38,66,Ashburton/Buckfastleigh
47,67,Ashburton/Buckfastleigh
36,68,Ashburton/Buckfastleigh
37,69,Ashburton/Buckfastleigh
75,7,Ashburton/Buckfastleigh
36,70,Ashburton/Buckfastleigh
33,71,Ashburton/Buckfastleigh
27,72,Ashburton/Buckfastleigh
28,73,Ashburton/Buckfastleigh
25,74,Ashburton/Buckfastleigh
18,75,Ashburton/Buckfastleigh
21,76,Ashburton/Buckfastleigh
11,77,Ashburton/Buckfastleigh
14,78,Ashburton/Buckfastleigh
7,79,Ashburton/Buckfastleigh
71,8,Ashburton/Buckfastleigh
13,80,Ashburton/Buckfastleigh
11,81,Ashburton/Buckfastleigh
