num_borrowers,imd2015,devontown
2697,1,0
1994,10,0
5004,2,0
4958,3,0
8103,4,0
6532,5,0
9171,6,0
3990,7,0
6418,8,0
7757,9,0
2034,4,Ashburton/Buckfastleigh
381,5,Ashburton/Buckfastleigh
537,6,Ashburton/Buckfastleigh
429,8,Ashburton/Buckfastleigh
1546,5,Axminster
1478,6,Axminster
397,7,Axminster
1132,8,Axminster
1094,1,Barnstaple
1329,2,Barnstaple
2590,3,Barnstaple
2535,4,Barnstaple
2921,5,Barnstaple
952,6,Barnstaple
2652,7,Barnstaple
2588,8,Barnstaple
1595,9,Barnstaple
2737,2,Bideford/Northam
1331,3,Bideford/Northam
4066,4,Bideford/Northam
1872,5,Bideford/Northam
1368,6,Bideford/Northam
1313,7,Bideford/Northam
593,8,Bideford/Northam
1,no location,Bideford/Northam
770,5,Braunton
572,7,Braunton
2530,8,Braunton
1325,9,Braunton
665,10,Crediton
384,3,Crediton
1420,4,Crediton
2870,5,Crediton
1508,6,Crediton
823,8,Crediton
408,10,Cullompton
2132,4,Cullompton
49,5,Cullompton
1751,6,Cullompton
2184,7,Cullompton
932,8,Cullompton
779,9,Cullompton
416,3,Dartmouth
246,5,Dartmouth
3149,6,Dartmouth
947,9,Dartmouth
2231,3,Dawlish
523,4,Dawlish
1490,5,Dawlish
1568,6,Dawlish
684,7,Dawlish
893,10,Exeter
393,4,Exeter
2604,6,Exeter
1278,7,Exeter
1075,8,Exeter
128,9,Exeter
2531,10,Exmouth
2376,3,Exmouth
1807,4,Exmouth
1342,5,Exmouth
3286,6,Exmouth
3087,8,Exmouth
5294,9,Exmouth
1796,4,Great Torrington
1310,5,Great Torrington
649,6,Great Torrington
437,8,Great Torrington
1005,3,Holsworthy
2136,4,Holsworthy
282,5,Holsworthy
418,10,Honiton
1363,4,Honiton
976,5,Honiton
1681,6,Honiton
1632,8,Honiton
1123,1,Ilfracombe
1433,2,Ilfracombe
1103,3,Ilfracombe
898,4,Ilfracombe
2233,5,Ilfracombe
710,6,Ilfracombe
2075,10,Ivybridge
1345,5,Ivybridge
3039,6,Ivybridge
818,7,Ivybridge
1051,8,Ivybridge
1711,9,Ivybridge
923,4,Kingsbridge
555,5,Kingsbridge
3629,6,Kingsbridge
1541,7,Kingsbridge
491,9,Kingsbridge
878,4,Lynton and Lynmouth
37,5,Lynton and Lynmouth
169,5,Moretonhampstead
105,6,Moretonhampstead
1169,7,Moretonhampstead
2574,10,Newton Abbot
1146,2,Newton Abbot
1742,3,Newton Abbot
2250,4,Newton Abbot
2749,5,Newton Abbot
5627,6,Newton Abbot
3440,7,Newton Abbot
2205,8,Newton Abbot
1338,9,Newton Abbot
4827,4,Okehampton
1459,5,Okehampton
1206,6,Okehampton
1470,7,Okehampton
535,10,Ottery St Mary
356,6,Ottery St Mary
1339,7,Ottery St Mary
1628,8,Ottery St Mary
1193,9,Ottery St Mary
82,2,Outside DCC - Torbay
44,3,Outside DCC - Torbay
41,4,Outside DCC - Torbay
13,5,Outside DCC - Torbay
48,6,Outside DCC - Torbay
1948,5,Seaton
1101,7,Seaton
755,8,Seaton
1864,9,Seaton
1039,10,Sidmouth
816,5,Sidmouth
254,6,Sidmouth
1325,7,Sidmouth
2193,8,Sidmouth
2167,9,Sidmouth
3081,4,South Molton
1293,5,South Molton
744,6,South Molton
571,10,Tavistock
584,3,Tavistock
1941,4,Tavistock
2764,5,Tavistock
2607,6,Tavistock
901,7,Tavistock
823,8,Tavistock
583,9,Tavistock
933,2,Teignmouth
1411,3,Teignmouth
691,4,Teignmouth
1127,7,Teignmouth
1882,8,Teignmouth
1211,9,Teignmouth
3149,3,Tiverton
3444,4,Tiverton
1927,5,Tiverton
759,6,Tiverton
2361,7,Tiverton
2088,8,Tiverton
3376,4,Totnes
2440,5,Totnes
1196,6,Totnes
1755,7,Totnes
115,8,Totnes
10543,no location,no location
