,how_many,title,author,media_type,category_name
1,64,BFG,"Spielberg, Steven",DVD,DVD - Special Interest
2,64,Finding Dory,"Stanton, Andrew",DVD,DVD - Special Interest
3,58,Secret life of pets,"Renaud, Chris",DVD,DVD - Special Interest
40,36,Zootropolis,"Howard, Byron",DVD,DVD - Special Interest
78,30,Ice age 5: Collision course,"Thurmeier, Michael",DVD,DVD - Special Interest
97,29,Jungle book,"Favreau, Jon",DVD,DVD - Special Interest
106,28,Absolutely fabulous: The movie,"Fletcher, Mandie",DVD,DVD - General Interest
190,24,Ghostbusters,"Feig, Paul",DVD,DVD - General Interest
197,24,Revenant,"Inarritu, Alejandro G.",DVD,DVD - General Interest
208,23,Bridge of spies,"Spielberg, Steven",DVD,DVD - General Interest
