GeographyCode,DateCode,Measurement,Units,Value,Property Type
E92000001,2016 Aug,Average Price (pounds),Percent,231719,All Property Types
E12000001,2016 Aug,Average Price (pounds),Percent,126571,All Property Types
E12000002,2016 Aug,Average Price (pounds),Percent,149449,All Property Types
E12000003,2016 Aug,Average Price (pounds),Percent,150271,All Property Types
E12000004,2016 Aug,Average Price (pounds),Percent,172908,All Property Types
E12000005,2016 Aug,Average Price (pounds),Percent,162706,All Property Types
E12000006,2016 Aug,Average Price (pounds),Percent,272855,All Property Types
E12000007,2016 Aug,Average Price (pounds),Percent,475583,All Property Types
E12000008,2016 Aug,Average Price (pounds),Percent,311913,All Property Types
E12000009,2016 Aug,Average Price (pounds),Percent,238238,All Property Types
E92000001,2016 Jul,Average Price (pounds),Percent,232161,All Property Types
E12000001,2016 Jul,Average Price (pounds),Percent,127854,All Property Types
E12000002,2016 Jul,Average Price (pounds),Percent,150066,All Property Types
E12000003,2016 Jul,Average Price (pounds),Percent,151733,All Property Types
E12000004,2016 Jul,Average Price (pounds),Percent,172794,All Property Types
E12000005,2016 Jul,Average Price (pounds),Percent,161706,All Property Types
E12000006,2016 Jul,Average Price (pounds),Percent,272723,All Property Types
E12000007,2016 Jul,Average Price (pounds),Percent,481012,All Property Types
E12000008,2016 Jul,Average Price (pounds),Percent,311842,All Property Types
E12000009,2016 Jul,Average Price (pounds),Percent,237715,All Property Types
E92000001,2016 Jun,Average Price (pounds),Percent,231039,All Property Types
E12000001,2016 Jun,Average Price (pounds),Percent,126662,All Property Types
E12000002,2016 Jun,Average Price (pounds),Percent,148433,All Property Types
E12000003,2016 Jun,Average Price (pounds),Percent,150953,All Property Types
E12000004,2016 Jun,Average Price (pounds),Percent,172238,All Property Types
E12000005,2016 Jun,Average Price (pounds),Percent,160447,All Property Types
E12000006,2016 Jun,Average Price (pounds),Percent,271309,All Property Types
E12000007,2016 Jun,Average Price (pounds),Percent,477454,All Property Types
E12000008,2016 Jun,Average Price (pounds),Percent,310525,All Property Types
E12000009,2016 Jun,Average Price (pounds),Percent,236763,All Property Types
E92000001,2016 May,Average Price (pounds),Percent,227971,All Property Types
E12000001,2016 May,Average Price (pounds),Percent,125059,All Property Types
E12000002,2016 May,Average Price (pounds),Percent,147940,All Property Types
E12000003,2016 May,Average Price (pounds),Percent,148340,All Property Types
E12000004,2016 May,Average Price (pounds),Percent,169988,All Property Types
E12000005,2016 May,Average Price (pounds),Percent,157358,All Property Types
E12000006,2016 May,Average Price (pounds),Percent,266945,All Property Types
E12000007,2016 May,Average Price (pounds),Percent,472429,All Property Types
E12000008,2016 May,Average Price (pounds),Percent,305242,All Property Types
E12000009,2016 May,Average Price (pounds),Percent,232774,All Property Types
E92000001,2016 Apr,Average Price (pounds),Percent,224077,All Property Types
E12000001,2016 Apr,Average Price (pounds),Percent,121905,All Property Types
E12000002,2016 Apr,Average Price (pounds),Percent,145905,All Property Types
E12000003,2016 Apr,Average Price (pounds),Percent,146863,All Property Types
E12000004,2016 Apr,Average Price (pounds),Percent,167288,All Property Types
E12000005,2016 Apr,Average Price (pounds),Percent,155109,All Property Types
E12000006,2016 Apr,Average Price (pounds),Percent,261269,All Property Types
E12000007,2016 Apr,Average Price (pounds),Percent,463208,All Property Types
E12000008,2016 Apr,Average Price (pounds),Percent,299994,All Property Types
E12000009,2016 Apr,Average Price (pounds),Percent,228411,All Property Types
E92000001,2016 Mar,Average Price (pounds),Percent,222663,All Property Types
E12000001,2016 Mar,Average Price (pounds),Percent,122837,All Property Types
E12000002,2016 Mar,Average Price (pounds),Percent,141447,All Property Types
E12000003,2016 Mar,Average Price (pounds),Percent,143824,All Property Types
E12000004,2016 Mar,Average Price (pounds),Percent,165175,All Property Types
E12000005,2016 Mar,Average Price (pounds),Percent,153327,All Property Types
E12000006,2016 Mar,Average Price (pounds),Percent,259686,All Property Types
E12000007,2016 Mar,Average Price (pounds),Percent,464647,All Property Types
E12000008,2016 Mar,Average Price (pounds),Percent,300201,All Property Types
E12000009,2016 Mar,Average Price (pounds),Percent,233607,All Property Types
E92000001,2016 Feb,Average Price (pounds),Percent,220627,All Property Types
E12000001,2016 Feb,Average Price (pounds),Percent,121085,All Property Types
E12000002,2016 Feb,Average Price (pounds),Percent,143009,All Property Types
E12000003,2016 Feb,Average Price (pounds),Percent,145064,All Property Types
E12000004,2016 Feb,Average Price (pounds),Percent,164383,All Property Types
E12000005,2016 Feb,Average Price (pounds),Percent,153234,All Property Types
E12000006,2016 Feb,Average Price (pounds),Percent,255450,All Property Types
E12000007,2016 Feb,Average Price (pounds),Percent,457759,All Property Types
E12000008,2016 Feb,Average Price (pounds),Percent,295613,All Property Types
E12000009,2016 Feb,Average Price (pounds),Percent,227523,All Property Types
E92000001,2016 Jan,Average Price (pounds),Percent,220361,All Property Types
E12000001,2016 Jan,Average Price (pounds),Percent,121096,All Property Types
E12000002,2016 Jan,Average Price (pounds),Percent,143139,All Property Types
E12000003,2016 Jan,Average Price (pounds),Percent,144594,All Property Types
E12000004,2016 Jan,Average Price (pounds),Percent,164946,All Property Types
E12000005,2016 Jan,Average Price (pounds),Percent,153365,All Property Types
E12000006,2016 Jan,Average Price (pounds),Percent,255235,All Property Types
E12000007,2016 Jan,Average Price (pounds),Percent,457466,All Property Types
E12000008,2016 Jan,Average Price (pounds),Percent,293678,All Property Types
E12000009,2016 Jan,Average Price (pounds),Percent,226547,All Property Types
E92000001,2015 Dec,Average Price (pounds),Percent,219582,All Property Types
E12000001,2015 Dec,Average Price (pounds),Percent,123597,All Property Types
E12000002,2015 Dec,Average Price (pounds),Percent,142866,All Property Types
E12000003,2015 Dec,Average Price (pounds),Percent,145531,All Property Types
E12000004,2015 Dec,Average Price (pounds),Percent,165081,All Property Types
E12000005,2015 Dec,Average Price (pounds),Percent,169286,All Property Types
E12000006,2015 Dec,Average Price (pounds),Percent,252915,All Property Types
E12000007,2015 Dec,Average Price (pounds),Percent,450053,All Property Types
E12000008,2015 Dec,Average Price (pounds),Percent,291298,All Property Types
E12000009,2015 Dec,Average Price (pounds),Percent,226855,All Property Types
E92000001,2015 Nov,Average Price (pounds),Percent,218500,All Property Types
E12000001,2015 Nov,Average Price (pounds),Percent,123032,All Property Types
E12000002,2015 Nov,Average Price (pounds),Percent,142829,All Property Types
E12000003,2015 Nov,Average Price (pounds),Percent,145036,All Property Types
E12000004,2015 Nov,Average Price (pounds),Percent,164460,All Property Types
E12000005,2015 Nov,Average Price (pounds),Percent,168871,All Property Types
E12000006,2015 Nov,Average Price (pounds),Percent,251803,All Property Types
E12000007,2015 Nov,Average Price (pounds),Percent,445485,All Property Types
E12000008,2015 Nov,Average Price (pounds),Percent,288509,All Property Types
E12000009,2015 Nov,Average Price (pounds),Percent,226490,All Property Types
E92000001,2015 Oct,Average Price (pounds),Percent,216676,All Property Types
E12000001,2015 Oct,Average Price (pounds),Percent,121512,All Property Types
E12000002,2015 Oct,Average Price (pounds),Percent,142082,All Property Types
E12000003,2015 Oct,Average Price (pounds),Percent,144325,All Property Types
E12000004,2015 Oct,Average Price (pounds),Percent,163771,All Property Types
E12000005,2015 Oct,Average Price (pounds),Percent,167550,All Property Types
E12000006,2015 Oct,Average Price (pounds),Percent,248467,All Property Types
E12000007,2015 Oct,Average Price (pounds),Percent,440484,All Property Types
E12000008,2015 Oct,Average Price (pounds),Percent,286452,All Property Types
E12000009,2015 Oct,Average Price (pounds),Percent,224226,All Property Types
E92000001,2015 Sep,Average Price (pounds),Percent,216350,All Property Types
E12000001,2015 Sep,Average Price (pounds),Percent,123304,All Property Types
E12000002,2015 Sep,Average Price (pounds),Percent,142769,All Property Types
E12000003,2015 Sep,Average Price (pounds),Percent,144635,All Property Types
E12000004,2015 Sep,Average Price (pounds),Percent,162174,All Property Types
E12000005,2015 Sep,Average Price (pounds),Percent,167590,All Property Types
E12000006,2015 Sep,Average Price (pounds),Percent,247282,All Property Types
E12000007,2015 Sep,Average Price (pounds),Percent,439729,All Property Types
E12000008,2015 Sep,Average Price (pounds),Percent,284374,All Property Types
E12000009,2015 Sep,Average Price (pounds),Percent,224435,All Property Types
E92000001,2015 Aug,Average Price (pounds),Percent,215756,All Property Types
E12000001,2015 Aug,Average Price (pounds),Percent,123621,All Property Types
E12000002,2015 Aug,Average Price (pounds),Percent,142463,All Property Types
E12000003,2015 Aug,Average Price (pounds),Percent,145313,All Property Types
E12000004,2015 Aug,Average Price (pounds),Percent,163208,All Property Types
E12000005,2015 Aug,Average Price (pounds),Percent,167862,All Property Types
E12000006,2015 Aug,Average Price (pounds),Percent,244547,All Property Types
E12000007,2015 Aug,Average Price (pounds),Percent,436152,All Property Types
E12000008,2015 Aug,Average Price (pounds),Percent,283369,All Property Types
E12000009,2015 Aug,Average Price (pounds),Percent,223210,All Property Types
E92000001,2015 Jul,Average Price (pounds),Percent,213518,All Property Types
E12000001,2015 Jul,Average Price (pounds),Percent,122669,All Property Types
E12000002,2015 Jul,Average Price (pounds),Percent,141510,All Property Types
E12000003,2015 Jul,Average Price (pounds),Percent,144733,All Property Types
E12000004,2015 Jul,Average Price (pounds),Percent,161180,All Property Types
E12000005,2015 Jul,Average Price (pounds),Percent,166016,All Property Types
E12000006,2015 Jul,Average Price (pounds),Percent,241817,All Property Types
E12000007,2015 Jul,Average Price (pounds),Percent,431644,All Property Types
E12000008,2015 Jul,Average Price (pounds),Percent,279875,All Property Types
E12000009,2015 Jul,Average Price (pounds),Percent,220044,All Property Types
E92000001,2015 Jun,Average Price (pounds),Percent,209874,All Property Types
E12000001,2015 Jun,Average Price (pounds),Percent,122584,All Property Types
E12000002,2015 Jun,Average Price (pounds),Percent,139138,All Property Types
E12000003,2015 Jun,Average Price (pounds),Percent,141872,All Property Types
E12000004,2015 Jun,Average Price (pounds),Percent,158960,All Property Types
E12000005,2015 Jun,Average Price (pounds),Percent,164404,All Property Types
E12000006,2015 Jun,Average Price (pounds),Percent,236143,All Property Types
E12000007,2015 Jun,Average Price (pounds),Percent,419474,All Property Types
E12000008,2015 Jun,Average Price (pounds),Percent,275224,All Property Types
E12000009,2015 Jun,Average Price (pounds),Percent,217582,All Property Types
E92000001,2015 May,Average Price (pounds),Percent,208265,All Property Types
E12000001,2015 May,Average Price (pounds),Percent,120610,All Property Types
E12000002,2015 May,Average Price (pounds),Percent,139668,All Property Types
E12000003,2015 May,Average Price (pounds),Percent,141654,All Property Types
E12000004,2015 May,Average Price (pounds),Percent,157709,All Property Types
E12000005,2015 May,Average Price (pounds),Percent,162631,All Property Types
E12000006,2015 May,Average Price (pounds),Percent,235052,All Property Types
E12000007,2015 May,Average Price (pounds),Percent,415817,All Property Types
E12000008,2015 May,Average Price (pounds),Percent,271147,All Property Types
E12000009,2015 May,Average Price (pounds),Percent,215498,All Property Types
E92000001,2015 Apr,Average Price (pounds),Percent,205936,All Property Types
E12000001,2015 Apr,Average Price (pounds),Percent,121598,All Property Types
E12000002,2015 Apr,Average Price (pounds),Percent,137256,All Property Types
E12000003,2015 Apr,Average Price (pounds),Percent,138435,All Property Types
E12000004,2015 Apr,Average Price (pounds),Percent,155680,All Property Types
E12000005,2015 Apr,Average Price (pounds),Percent,161813,All Property Types
E12000006,2015 Apr,Average Price (pounds),Percent,231912,All Property Types
E12000007,2015 Apr,Average Price (pounds),Percent,410445,All Property Types
E12000008,2015 Apr,Average Price (pounds),Percent,268550,All Property Types
E12000009,2015 Apr,Average Price (pounds),Percent,214541,All Property Types
E92000001,2015 Mar,Average Price (pounds),Percent,203360,All Property Types
E12000001,2015 Mar,Average Price (pounds),Percent,117578,All Property Types
E12000002,2015 Mar,Average Price (pounds),Percent,135261,All Property Types
E12000003,2015 Mar,Average Price (pounds),Percent,137740,All Property Types
E12000004,2015 Mar,Average Price (pounds),Percent,154728,All Property Types
E12000005,2015 Mar,Average Price (pounds),Percent,159293,All Property Types
E12000006,2015 Mar,Average Price (pounds),Percent,229497,All Property Types
E12000007,2015 Mar,Average Price (pounds),Percent,404706,All Property Types
E12000008,2015 Mar,Average Price (pounds),Percent,265090,All Property Types
E12000009,2015 Mar,Average Price (pounds),Percent,212109,All Property Types
E92000001,2015 Feb,Average Price (pounds),Percent,203424,All Property Types
E12000001,2015 Feb,Average Price (pounds),Percent,118525,All Property Types
E12000002,2015 Feb,Average Price (pounds),Percent,137141,All Property Types
E12000003,2015 Feb,Average Price (pounds),Percent,136993,All Property Types
E12000004,2015 Feb,Average Price (pounds),Percent,154210,All Property Types
E12000005,2015 Feb,Average Price (pounds),Percent,160388,All Property Types
E12000006,2015 Feb,Average Price (pounds),Percent,229383,All Property Types
E12000007,2015 Feb,Average Price (pounds),Percent,404773,All Property Types
E12000008,2015 Feb,Average Price (pounds),Percent,264568,All Property Types
E12000009,2015 Feb,Average Price (pounds),Percent,210050,All Property Types
E92000001,2015 Jan,Average Price (pounds),Percent,202856,All Property Types
E12000001,2015 Jan,Average Price (pounds),Percent,117156,All Property Types
E12000002,2015 Jan,Average Price (pounds),Percent,136041,All Property Types
E12000003,2015 Jan,Average Price (pounds),Percent,136169,All Property Types
E12000004,2015 Jan,Average Price (pounds),Percent,153669,All Property Types
E12000005,2015 Jan,Average Price (pounds),Percent,158683,All Property Types
E12000006,2015 Jan,Average Price (pounds),Percent,228276,All Property Types
E12000007,2015 Jan,Average Price (pounds),Percent,402847,All Property Types
E12000008,2015 Jan,Average Price (pounds),Percent,264848,All Property Types
E12000009,2015 Jan,Average Price (pounds),Percent,212878,All Property Types
E92000001,2014 Dec,Average Price (pounds),Percent,203346,All Property Types
E12000001,2014 Dec,Average Price (pounds),Percent,118798,All Property Types
E12000002,2014 Dec,Average Price (pounds),Percent,136688,All Property Types
E12000003,2014 Dec,Average Price (pounds),Percent,139199,All Property Types
E12000004,2014 Dec,Average Price (pounds),Percent,153904,All Property Types
E12000005,2014 Dec,Average Price (pounds),Percent,160267,All Property Types
E12000006,2014 Dec,Average Price (pounds),Percent,227176,All Property Types
E12000007,2014 Dec,Average Price (pounds),Percent,402898,All Property Types
E12000008,2014 Dec,Average Price (pounds),Percent,264217,All Property Types
E12000009,2014 Dec,Average Price (pounds),Percent,211576,All Property Types
E92000001,2014 Nov,Average Price (pounds),Percent,202704,All Property Types
E12000001,2014 Nov,Average Price (pounds),Percent,118778,All Property Types
E12000002,2014 Nov,Average Price (pounds),Percent,136864,All Property Types
E12000003,2014 Nov,Average Price (pounds),Percent,138291,All Property Types
E12000004,2014 Nov,Average Price (pounds),Percent,154009,All Property Types
E12000005,2014 Nov,Average Price (pounds),Percent,159782,All Property Types
E12000006,2014 Nov,Average Price (pounds),Percent,226352,All Property Types
E12000007,2014 Nov,Average Price (pounds),Percent,400803,All Property Types
E12000008,2014 Nov,Average Price (pounds),Percent,262969,All Property Types
E12000009,2014 Nov,Average Price (pounds),Percent,210799,All Property Types
E92000001,2014 Oct,Average Price (pounds),Percent,203311,All Property Types
E12000001,2014 Oct,Average Price (pounds),Percent,118619,All Property Types
E12000002,2014 Oct,Average Price (pounds),Percent,137383,All Property Types
E12000003,2014 Oct,Average Price (pounds),Percent,138639,All Property Types
E12000004,2014 Oct,Average Price (pounds),Percent,154170,All Property Types
E12000005,2014 Oct,Average Price (pounds),Percent,159925,All Property Types
E12000006,2014 Oct,Average Price (pounds),Percent,227303,All Property Types
E12000007,2014 Oct,Average Price (pounds),Percent,402300,All Property Types
E12000008,2014 Oct,Average Price (pounds),Percent,263518,All Property Types
E12000009,2014 Oct,Average Price (pounds),Percent,212152,All Property Types
E92000001,2014 Sep,Average Price (pounds),Percent,203639,All Property Types
E12000001,2014 Sep,Average Price (pounds),Percent,120251,All Property Types
E12000002,2014 Sep,Average Price (pounds),Percent,138050,All Property Types
E12000003,2014 Sep,Average Price (pounds),Percent,137813,All Property Types
E12000004,2014 Sep,Average Price (pounds),Percent,155263,All Property Types
E12000005,2014 Sep,Average Price (pounds),Percent,160011,All Property Types
E12000006,2014 Sep,Average Price (pounds),Percent,226243,All Property Types
E12000007,2014 Sep,Average Price (pounds),Percent,403670,All Property Types
E12000008,2014 Sep,Average Price (pounds),Percent,263171,All Property Types
E12000009,2014 Sep,Average Price (pounds),Percent,213432,All Property Types
E92000001,2014 Aug,Average Price (pounds),Percent,203406,All Property Types
E12000001,2014 Aug,Average Price (pounds),Percent,121329,All Property Types
E12000002,2014 Aug,Average Price (pounds),Percent,138230,All Property Types
E12000003,2014 Aug,Average Price (pounds),Percent,139749,All Property Types
E12000004,2014 Aug,Average Price (pounds),Percent,155033,All Property Types
E12000005,2014 Aug,Average Price (pounds),Percent,160571,All Property Types
E12000006,2014 Aug,Average Price (pounds),Percent,224167,All Property Types
E12000007,2014 Aug,Average Price (pounds),Percent,404754,All Property Types
E12000008,2014 Aug,Average Price (pounds),Percent,261254,All Property Types
E12000009,2014 Aug,Average Price (pounds),Percent,211731,All Property Types
E92000001,2014 Jul,Average Price (pounds),Percent,200825,All Property Types
E12000001,2014 Jul,Average Price (pounds),Percent,121279,All Property Types
E12000002,2014 Jul,Average Price (pounds),Percent,136629,All Property Types
E12000003,2014 Jul,Average Price (pounds),Percent,138056,All Property Types
E12000004,2014 Jul,Average Price (pounds),Percent,152658,All Property Types
E12000005,2014 Jul,Average Price (pounds),Percent,158073,All Property Types
E12000006,2014 Jul,Average Price (pounds),Percent,221817,All Property Types
E12000007,2014 Jul,Average Price (pounds),Percent,398737,All Property Types
E12000008,2014 Jul,Average Price (pounds),Percent,257701,All Property Types
E12000009,2014 Jul,Average Price (pounds),Percent,209034,All Property Types
E92000001,2014 Jun,Average Price (pounds),Percent,197951,All Property Types
E12000001,2014 Jun,Average Price (pounds),Percent,121217,All Property Types
E12000002,2014 Jun,Average Price (pounds),Percent,135870,All Property Types
E12000003,2014 Jun,Average Price (pounds),Percent,136406,All Property Types
E12000004,2014 Jun,Average Price (pounds),Percent,151454,All Property Types
E12000005,2014 Jun,Average Price (pounds),Percent,157736,All Property Types
E12000006,2014 Jun,Average Price (pounds),Percent,218023,All Property Types
E12000007,2014 Jun,Average Price (pounds),Percent,387182,All Property Types
E12000008,2014 Jun,Average Price (pounds),Percent,253441,All Property Types
E12000009,2014 Jun,Average Price (pounds),Percent,204781,All Property Types
E92000001,2014 May,Average Price (pounds),Percent,196171,All Property Types
E12000001,2014 May,Average Price (pounds),Percent,118613,All Property Types
E12000002,2014 May,Average Price (pounds),Percent,134136,All Property Types
E12000003,2014 May,Average Price (pounds),Percent,136372,All Property Types
E12000004,2014 May,Average Price (pounds),Percent,150008,All Property Types
E12000005,2014 May,Average Price (pounds),Percent,155724,All Property Types
