Generated by http://opendatacommunities.org,2017-03-10T12:50:32+00:00
http://opendatacommunities.org/data/labour-force/employment/count/by-occupation,"Annual Population Survey - Employment count by occupation, England, by District, LEP"
Reference period,Year ending 2016-09-30
Measure (cell values): ,Count of those in employment

,,http://opendatacommunities.org/def/concept/labour-force/employment/proportion/by-occupation/soc20101,http://opendatacommunities.org/def/concept/labour-force/employment/proportion/by-occupation/soc20102,http://opendatacommunities.org/def/concept/labour-force/employment/proportion/by-occupation/soc20103,http://opendatacommunities.org/def/concept/labour-force/employment/proportion/by-occupation/soc20104,http://opendatacommunities.org/def/concept/labour-force/employment/proportion/by-occupation/soc20105,http://opendatacommunities.org/def/concept/labour-force/employment/proportion/by-occupation/soc20106,http://opendatacommunities.org/def/concept/labour-force/employment/proportion/by-occupation/soc20107,http://opendatacommunities.org/def/concept/labour-force/employment/proportion/by-occupation/soc20108,http://opendatacommunities.org/def/concept/labour-force/employment/proportion/by-occupation/soc20109
http://opendatacommunities.org/def/ontology/geography/refArea,Reference area,SOC2010 Major Group 1,SOC2010 Major Group 2,SOC2010 Major Group 3,SOC2010 Major Group 4,SOC2010 Major Group 5,SOC2010 Major Group 6,SOC2010 Major Group 7,SOC2010 Major Group 8,SOC2010 Major Group 9
http://opendatacommunities.org/id/geography/administration/ctry/E92000001,England E92000001,2865600,5381200,3848700,2755900,2738900,2386100,1978200,1693300,2830300
http://opendatacommunities.org/id/geography/administration/uk/K02000001,United Kingdom K02000001,3282200,6314100,4442100,3264900,3294700,2865100,2409100,2021800,3370100
http://opendatacommunities.org/id/geography/administration/lep/E37000001,Black Country E37000001,39500,69100,55000,54900,62900,51400,41000,47800,61700
http://opendatacommunities.org/id/geography/administration/lep/E37000002,Buckinghamshire Thames Valley E37000002,40900,63600,51100,33500,21900,18300,20600,8300,15100
http://opendatacommunities.org/id/geography/administration/lep/E37000003,Cheshire and Warrington E37000003,61600,92500,65500,46300,40800,28500,29300,29400,46300
http://opendatacommunities.org/id/geography/administration/lep/E37000004,Coast to Capital E37000004,142500,212200,172300,113000,90800,97300,69500,44400,77400
http://opendatacommunities.org/id/geography/administration/lep/E37000005,Cornwall and Isles of Scilly E37000005,30300,38100,37900,29300,42400,30400,14000,10700,34000
http://opendatacommunities.org/id/geography/administration/lep/E37000006,Coventry and Warwickshire E37000006,46300,81300,60000,47300,45600,35500,27200,30700,58100
http://opendatacommunities.org/id/geography/administration/lep/E37000007,Cumbria E37000007,22500,37800,27400,25900,36700,21400,17700,17500,31400
http://opendatacommunities.org/id/geography/administration/lep/E37000008,"Derby, Derbyshire, Nottingham and Nottinghamshire E37000008",90100,193400,143900,112200,124600,99300,69800,83200,130300
http://opendatacommunities.org/id/geography/administration/lep/E37000009,Dorset E37000009,48400,62300,45400,39100,44500,34100,31000,13800,36100
http://opendatacommunities.org/id/geography/administration/lep/E37000010,Enterprise M3 E37000010,94500,193700,122700,86600,71600,64900,45500,31100,53000
http://opendatacommunities.org/id/geography/administration/lep/E37000011,Gloucestershire E37000011,42300,57500,42200,37300,40400,25800,21200,24300,30900
http://opendatacommunities.org/id/geography/administration/lep/E37000012,Greater Birmingham and Solihull E37000012,83500,170700,116700,93500,84900,84200,63200,69100,106600
http://opendatacommunities.org/id/geography/administration/lep/E37000013,Greater Cambridge and Greater Peterborough E37000013,71200,162100,103000,68700,75000,64000,42300,51900,83800
http://opendatacommunities.org/id/geography/administration/lep/E37000014,Greater Lincolnshire E37000014,54100,63900,54800,45700,65100,46600,39600,53500,62400
http://opendatacommunities.org/id/geography/administration/lep/E37000015,Greater Manchester E37000015,120300,242800,173200,139400,116200,123600,125400,91100,135500
http://opendatacommunities.org/id/geography/administration/lep/E37000016,Heart of the South West E37000016,88200,143800,114300,79400,111700,78300,58400,55500,90100
http://opendatacommunities.org/id/geography/administration/lep/E37000017,Hertfordshire E37000017,71800,141000,90400,72100,57100,52100,44800,20600,46000
http://opendatacommunities.org/id/geography/administration/lep/E37000018,Humber E37000018,33900,72000,54000,41400,58100,43500,34700,38100,50800
http://opendatacommunities.org/id/geography/administration/lep/E37000019,Lancashire E37000019,64800,135400,88200,74400,81300,78500,48800,45900,75900
http://opendatacommunities.org/id/geography/administration/lep/E37000020,Leeds City Region E37000020,140000,278500,184100,139200,155300,127900,119900,117700,172800
http://opendatacommunities.org/id/geography/administration/lep/E37000021,Leicester and Leicestershire E37000021,52800,83300,69600,47000,46100,44700,33500,43900,59300
http://opendatacommunities.org/id/geography/administration/lep/E37000022,Liverpool City Region E37000022,58800,128000,87900,83000,62500,67100,57800,50900,76300
http://opendatacommunities.org/id/geography/administration/lep/E37000023,London E37000023,559900,1111500,784800,424300,315400,334600,299600,200600,419600
http://opendatacommunities.org/id/geography/administration/lep/E37000024,New Anglia E37000024,80400,138600,95600,70500,98300,74300,60900,51900,105000
http://opendatacommunities.org/id/geography/administration/lep/E37000025,North East E37000025,69900,165600,110000,90900,102400,90600,86700,67000,109100
http://opendatacommunities.org/id/geography/administration/lep/E37000026,Northamptonshire E37000026,39600,66100,48500,36300,41800,36200,29900,29400,39800
http://opendatacommunities.org/id/geography/administration/lep/E37000027,Oxfordshire E37000027,39800,102500,50400,34200,31800,28100,20600,16000,32800
http://opendatacommunities.org/id/geography/administration/lep/E37000040,Sheffield City Region E37000040,73900,148100,98200,86700,96100,87900,72200,67900,106600
http://opendatacommunities.org/id/geography/administration/lep/E37000029,Solent E37000029,60300,115500,84300,57300,67600,60700,47500,35000,72600
http://opendatacommunities.org/id/geography/administration/lep/E37000030,South East E37000030,214900,367200,283900,222700,243100,189500,145400,117500,181100
http://opendatacommunities.org/id/geography/administration/lep/E37000031,South East Midlands E37000031,95500,182200,130600,102300,95200,79900,68400,65600,91700
http://opendatacommunities.org/id/geography/administration/lep/E37000032,Stoke-on-Trent and Staffordshire E37000032,56300,86400,69400,56900,65600,48500,43800,43700,79800
http://opendatacommunities.org/id/geography/administration/lep/E37000033,Swindon and Wiltshire E37000033,46700,74700,53200,30600,35500,29200,28600,22000,38600
http://opendatacommunities.org/id/geography/administration/lep/E37000034,Tees Valley E37000034,25400,50100,36300,31600,33400,32800,23400,21000,35300
http://opendatacommunities.org/id/geography/administration/lep/E37000035,Thames Valley Berkshire E37000035,58300,118600,75500,44900,37300,37800,29900,22500,37700
http://opendatacommunities.org/id/geography/administration/lep/E37000036,The Marches E37000036,33700,49400,43900,32500,46500,29000,26500,26200,42200
http://opendatacommunities.org/id/geography/administration/lep/E37000037,West of England E37000037,56700,136800,99100,63400,46100,44600,40600,32200,53500
http://opendatacommunities.org/id/geography/administration/lep/E37000038,Worcestershire E37000038,32800,55200,42300,30200,31400,24600,17600,17900,30700
http://opendatacommunities.org/id/geography/administration/lep/E37000039,"York, North Yorkshire and East Riding E37000039",67600,108300,79200,53100,74000,58600,40300,28300,70800
http://opendatacommunities.org/id/geography/administration/ua/E06000022,Bath and North East Somerset E06000022,10700,22700,17100,8900,8500,5900,6000,4200,9700
http://opendatacommunities.org/id/geography/administration/ua/E06000055,Bedford E06000055,7600,19100,13400,9400,8900,5600,7500,6200,5800
http://opendatacommunities.org/id/geography/administration/ua/E06000008,Blackburn with Darwen E06000008,4600,9900,7500,6600,6300,6700,5800,6800,6400
http://opendatacommunities.org/id/geography/administration/ua/E06000009,Blackpool E06000009,4600,8200,7500,6700,8000,6500,7400,3800,7700
http://opendatacommunities.org/id/geography/administration/ua/E06000028,Bournemouth E06000028,14400,14700,11000,9800,8700,10000,11600,4200,13200
http://opendatacommunities.org/id/geography/administration/ua/E06000036,Bracknell Forest E06000036,7700,13900,12300,6800,6700,6800,3600,2300,5700
http://opendatacommunities.org/id/geography/administration/ua/E06000043,Brighton and Hove E06000043,17100,43100,27000,13600,11800,10500,11100,3600,13700
http://opendatacommunities.org/id/geography/administration/ua/E06000023,"Bristol, City of E06000023",18300,64300,44200,24600,18800,19400,13300,12300,21000
http://opendatacommunities.org/id/geography/administration/ua/E06000056,Central Bedfordshire E06000056,14700,31600,26000,19100,16500,10100,8300,8600,11400
http://opendatacommunities.org/id/geography/administration/ua/E06000049,Cheshire East E06000049,24700,42900,27700,23900,13500,13200,9500,11100,14200
http://opendatacommunities.org/id/geography/administration/ua/E06000050,Cheshire West and Chester E06000050,23400,27600,24000,12500,18300,7500,10200,11800,20100
http://opendatacommunities.org/id/geography/administration/ua/E06000052,Cornwall E06000052,30300,38100,37900,29300,42400,30400,14000,10700,34000
http://opendatacommunities.org/id/geography/administration/ua/E06000047,County Durham E06000047,17400,45900,28300,23200,28700,23500,19800,17400,26300
http://opendatacommunities.org/id/geography/administration/ua/E06000005,Darlington E06000005,4800,9000,6200,5900,4500,5200,4000,3800,6000
http://opendatacommunities.org/id/geography/administration/ua/E06000015,Derby E06000015,8900,23800,13100,12600,11800,12000,10000,10800,17300
http://opendatacommunities.org/id/geography/administration/ua/E06000011,East Riding of Yorkshire E06000011,14200,31100,25200,16600,21000,15000,9800,11300,17900
http://opendatacommunities.org/id/geography/administration/ua/E06000006,Halton E06000006,5600,8900,7500,7200,6600,5900,4900,6100,7400
http://opendatacommunities.org/id/geography/administration/ua/E06000001,Hartlepool E06000001,2900,5200,4100,3800,5100,4200,3100,3700,5100
http://opendatacommunities.org/id/geography/administration/ua/E06000019,"Herefordshire, County of E06000019",10600,12600,12900,8300,14200,7600,5500,7300,11700
http://opendatacommunities.org/id/geography/administration/ua/E06000046,Isle of Wight E06000046,7300,9800,6400,5300,8300,7600,5500,3400,6800
http://opendatacommunities.org/id/geography/administration/ua/E06000010,"Kingston upon Hull, City of E06000010",6500,20500,12200,11400,15400,12000,13500,9400,14500
http://opendatacommunities.org/id/geography/administration/ua/E06000016,Leicester E06000016,12500,18600,14300,12700,12600,13700,9800,22500,26500
http://opendatacommunities.org/id/geography/administration/ua/E06000032,Luton E06000032,6200,17200,12100,10400,10200,10600,6300,8500,14700
http://opendatacommunities.org/id/geography/administration/ua/E06000035,Medway E06000035,13900,21900,17500,15200,17700,14000,9900,8700,13300
http://opendatacommunities.org/id/geography/administration/ua/E06000002,Middlesbrough E06000002,4600,9100,7500,5500,6600,6900,4500,4100,9200
http://opendatacommunities.org/id/geography/administration/ua/E06000042,Milton Keynes E06000042,14200,25400,18400,15000,12300,10800,10300,8100,15400
http://opendatacommunities.org/id/geography/administration/ua/E06000012,North East Lincolnshire E06000012,5800,9200,7500,7700,10700,7700,6300,9000,9400
http://opendatacommunities.org/id/geography/administration/ua/E06000013,North Lincolnshire E06000013,7400,11200,9000,5800,11000,8700,5100,8400,9000
http://opendatacommunities.org/id/geography/administration/ua/E06000024,North Somerset E06000024,12700,18500,16800,12000,9000,9300,9100,6400,8100
http://opendatacommunities.org/id/geography/administration/ua/E06000057,Northumberland E06000057,15400,26300,13100,14200,18600,14200,12100,12600,15600
http://opendatacommunities.org/id/geography/administration/ua/E06000018,Nottingham E06000018,8900,24800,22100,12800,14800,16000,10200,10000,19400
http://opendatacommunities.org/id/geography/administration/ua/E06000031,Peterborough E06000031,5700,13700,13400,10300,8900,8400,7400,10700,16900
http://opendatacommunities.org/id/geography/administration/ua/E06000026,Plymouth E06000026,10700,22000,18900,12600,16200,12600,12300,10200,12800
http://opendatacommunities.org/id/geography/administration/ua/E06000029,Poole E06000029,9000,13800,9000,7400,8300,5900,6100,4400,7000
http://opendatacommunities.org/id/geography/administration/ua/E06000044,Portsmouth E06000044,8000,18800,14700,9500,12700,11600,8300,5400,11900
http://opendatacommunities.org/id/geography/administration/ua/E06000038,Reading E06000038,7600,25700,14700,7400,8500,7400,3900,4100,7000
http://opendatacommunities.org/id/geography/administration/ua/E06000003,Redcar and Cleveland E06000003,4500,8300,6400,6000,7600,8100,4500,4100,5700
http://opendatacommunities.org/id/geography/administration/ua/E06000017,Rutland E06000017,3300,3200,3000,1400,1400,1200,800,600,2000
http://opendatacommunities.org/id/geography/administration/ua/E06000051,Shropshire E06000051,15700,23200,19000,15100,23900,14700,14500,11500,19100
http://opendatacommunities.org/id/geography/administration/ua/E06000039,Slough E06000039,5800,13500,6700,6600,5500,6700,7400,7500,11100
http://opendatacommunities.org/id/geography/administration/ua/E06000025,South Gloucestershire E06000025,14900,31300,20900,17900,9900,9900,12200,9400,14700
http://opendatacommunities.org/id/geography/administration/ua/E06000045,Southampton E06000045,9700,23900,15200,12100,13600,12800,10600,9100,20000
http://opendatacommunities.org/id/geography/administration/ua/E06000033,Southend-on-Sea E06000033,11200,16700,12600,10200,7700,7700,5700,4900,10000
http://opendatacommunities.org/id/geography/administration/ua/E06000004,Stockton-on-Tees E06000004,8600,18600,12100,10500,9600,8400,7400,5300,9200
http://opendatacommunities.org/id/geography/administration/ua/E06000021,Stoke-on-Trent E06000021,7200,13100,10400,12000,15400,13000,8900,11300,20800
http://opendatacommunities.org/id/geography/administration/ua/E06000030,Swindon E06000030,8400,23100,17900,9500,11500,7800,10800,10100,14400
