Generated by http://opendatacommunities.org,2017-03-10T12:49:07+00:00
http://opendatacommunities.org/data/labour-force/unemployment/claimant-rate/by-age,"Claimant Count and JSA - Claimant rate, England, by District, LEP"
Reference period,2017 Jan
Measure (cell values): ,Claimant rate (%)(Percent)

,,http://opendatacommunities.org/def/concept/general-concepts/byage/1664
http://opendatacommunities.org/def/ontology/geography/refArea,Reference area,16-64
http://opendatacommunities.org/id/geography/administration/ctry/E92000001,England E92000001,1.8
http://opendatacommunities.org/id/geography/administration/lep/E37000001,Black Country E37000001,3.3
http://opendatacommunities.org/id/geography/administration/lep/E37000002,Buckinghamshire Thames Valley E37000002,0.9
http://opendatacommunities.org/id/geography/administration/lep/E37000003,Cheshire and Warrington E37000003,1.3
http://opendatacommunities.org/id/geography/administration/lep/E37000004,Coast to Capital E37000004,1.4
http://opendatacommunities.org/id/geography/administration/lep/E37000005,Cornwall and Isles of Scilly E37000005,1.5
http://opendatacommunities.org/id/geography/administration/lep/E37000006,Coventry and Warwickshire E37000006,1.4
http://opendatacommunities.org/id/geography/administration/lep/E37000007,Cumbria E37000007,1.5
http://opendatacommunities.org/id/geography/administration/lep/E37000008,"Derby, Derbyshire, Nottingham and Nottinghamshire E37000008",1.6
http://opendatacommunities.org/id/geography/administration/lep/E37000009,Dorset E37000009,1.2
http://opendatacommunities.org/id/geography/administration/lep/E37000011,Gloucestershire E37000011,1.1
http://opendatacommunities.org/id/geography/administration/lep/E37000012,Greater Birmingham and Solihull E37000012,3
http://opendatacommunities.org/id/geography/administration/lep/E37000013,Greater Cambridge and Greater Peterborough E37000013,0.8
http://opendatacommunities.org/id/geography/administration/lep/E37000014,Greater Lincolnshire E37000014,2
http://opendatacommunities.org/id/geography/administration/lep/E37000015,Greater Manchester E37000015,2.5
http://opendatacommunities.org/id/geography/administration/lep/E37000016,Heart of the South West E37000016,1.4
http://opendatacommunities.org/id/geography/administration/lep/E37000017,Hertfordshire E37000017,1.1
http://opendatacommunities.org/id/geography/administration/lep/E37000018,Humber E37000018,2.6
http://opendatacommunities.org/id/geography/administration/lep/E37000019,Lancashire E37000019,2.2
http://opendatacommunities.org/id/geography/administration/lep/E37000020,Leeds City Region E37000020,2
http://opendatacommunities.org/id/geography/administration/lep/E37000021,Leicester and Leicestershire E37000021,1.1
http://opendatacommunities.org/id/geography/administration/lep/E37000022,Liverpool City Region E37000022,2.8
http://opendatacommunities.org/id/geography/administration/lep/E37000023,London E37000023,1.9
http://opendatacommunities.org/id/geography/administration/lep/E37000024,New Anglia E37000024,1.4
http://opendatacommunities.org/id/geography/administration/lep/E37000025,North East E37000025,2.9
http://opendatacommunities.org/id/geography/administration/lep/E37000026,Northamptonshire E37000026,1.4
http://opendatacommunities.org/id/geography/administration/lep/E37000027,Oxfordshire E37000027,0.6
http://opendatacommunities.org/id/geography/administration/lep/E37000040,Sheffield City Region E37000040,2.2
http://opendatacommunities.org/id/geography/administration/lep/E37000030,South East E37000030,1.5
http://opendatacommunities.org/id/geography/administration/lep/E37000031,South East Midlands E37000031,1.3
http://opendatacommunities.org/id/geography/administration/lep/E37000032,Stoke-on-Trent and Staffordshire E37000032,1.2
http://opendatacommunities.org/id/geography/administration/lep/E37000033,Swindon and Wiltshire E37000033,1
http://opendatacommunities.org/id/geography/administration/lep/E37000034,Tees Valley E37000034,4
http://opendatacommunities.org/id/geography/administration/lep/E37000035,Thames Valley Berkshire E37000035,1
http://opendatacommunities.org/id/geography/administration/lep/E37000036,The Marches E37000036,1.2
http://opendatacommunities.org/id/geography/administration/lep/E37000037,West of England E37000037,1.3
http://opendatacommunities.org/id/geography/administration/lep/E37000038,Worcestershire E37000038,1.2
http://opendatacommunities.org/id/geography/administration/lep/E37000039,"York, North Yorkshire and East Riding E37000039",1.2
http://opendatacommunities.org/id/geography/administration/ua/E06000022,Bath and North East Somerset E06000022,1.3
http://opendatacommunities.org/id/geography/administration/ua/E06000055,Bedford E06000055,2
http://opendatacommunities.org/id/geography/administration/ua/E06000008,Blackburn with Darwen E06000008,2.7
http://opendatacommunities.org/id/geography/administration/ua/E06000009,Blackpool E06000009,4.3
http://opendatacommunities.org/id/geography/administration/ua/E06000028,Bournemouth E06000028,1.6
http://opendatacommunities.org/id/geography/administration/ua/E06000036,Bracknell Forest E06000036,0.8
http://opendatacommunities.org/id/geography/administration/ua/E06000043,Brighton and Hove E06000043,1.5
http://opendatacommunities.org/id/geography/administration/ua/E06000023,"Bristol, City of E06000023",1.7
http://opendatacommunities.org/id/geography/administration/ua/E06000056,Central Bedfordshire E06000056,0.8
http://opendatacommunities.org/id/geography/administration/ua/E06000049,Cheshire East E06000049,1.1
http://opendatacommunities.org/id/geography/administration/ua/E06000050,Cheshire West and Chester E06000050,1.4
http://opendatacommunities.org/id/geography/administration/ua/E06000052,Cornwall E06000052,1.5
http://opendatacommunities.org/id/geography/administration/ua/E06000047,County Durham E06000047,2.5
http://opendatacommunities.org/id/geography/administration/ua/E06000005,Darlington E06000005,3.5
http://opendatacommunities.org/id/geography/administration/ua/E06000015,Derby E06000015,1.5
http://opendatacommunities.org/id/geography/administration/ua/E06000011,East Riding of Yorkshire E06000011,1.5
http://opendatacommunities.org/id/geography/administration/ua/E06000006,Halton E06000006,3
http://opendatacommunities.org/id/geography/administration/ua/E06000001,Hartlepool E06000001,4.6
http://opendatacommunities.org/id/geography/administration/ua/E06000019,"Herefordshire, County of E06000019",1.1
http://opendatacommunities.org/id/geography/administration/ua/E06000046,Isle of Wight E06000046,2.1
http://opendatacommunities.org/id/geography/administration/ua/E06000053,Isles of Scilly E06000053,0.7
http://opendatacommunities.org/id/geography/administration/ua/E06000010,"Kingston upon Hull, City of E06000010",3.6
http://opendatacommunities.org/id/geography/administration/ua/E06000016,Leicester E06000016,1.6
http://opendatacommunities.org/id/geography/administration/ua/E06000032,Luton E06000032,1.8
http://opendatacommunities.org/id/geography/administration/ua/E06000035,Medway E06000035,1.9
http://opendatacommunities.org/id/geography/administration/ua/E06000002,Middlesbrough E06000002,4.9
http://opendatacommunities.org/id/geography/administration/ua/E06000042,Milton Keynes E06000042,1.4
http://opendatacommunities.org/id/geography/administration/ua/E06000012,North East Lincolnshire E06000012,3.5
http://opendatacommunities.org/id/geography/administration/ua/E06000013,North Lincolnshire E06000013,2.3
http://opendatacommunities.org/id/geography/administration/ua/E06000024,North Somerset E06000024,1
http://opendatacommunities.org/id/geography/administration/ua/E06000057,Northumberland E06000057,2.5
http://opendatacommunities.org/id/geography/administration/ua/E06000018,Nottingham E06000018,3
http://opendatacommunities.org/id/geography/administration/ua/E06000031,Peterborough E06000031,1.3
http://opendatacommunities.org/id/geography/administration/ua/E06000026,Plymouth E06000026,2.1
http://opendatacommunities.org/id/geography/administration/ua/E06000029,Poole E06000029,1.2
http://opendatacommunities.org/id/geography/administration/ua/E06000044,Portsmouth E06000044,1.5
http://opendatacommunities.org/id/geography/administration/ua/E06000038,Reading E06000038,1.5
http://opendatacommunities.org/id/geography/administration/ua/E06000003,Redcar and Cleveland E06000003,4.1
http://opendatacommunities.org/id/geography/administration/ua/E06000017,Rutland E06000017,0.5
http://opendatacommunities.org/id/geography/administration/ua/E06000051,Shropshire E06000051,1
http://opendatacommunities.org/id/geography/administration/ua/E06000039,Slough E06000039,1.4
http://opendatacommunities.org/id/geography/administration/ua/E06000025,South Gloucestershire E06000025,0.9
http://opendatacommunities.org/id/geography/administration/ua/E06000045,Southampton E06000045,1.3
http://opendatacommunities.org/id/geography/administration/ua/E06000033,Southend-on-Sea E06000033,2
http://opendatacommunities.org/id/geography/administration/ua/E06000004,Stockton-on-Tees E06000004,3.3
http://opendatacommunities.org/id/geography/administration/ua/E06000021,Stoke-on-Trent E06000021,2.1
http://opendatacommunities.org/id/geography/administration/ua/E06000030,Swindon E06000030,1.2
http://opendatacommunities.org/id/geography/administration/ua/E06000020,Telford and Wrekin E06000020,1.6
http://opendatacommunities.org/id/geography/administration/ua/E06000034,Thurrock E06000034,1.9
http://opendatacommunities.org/id/geography/administration/ua/E06000027,Torbay E06000027,2.1
http://opendatacommunities.org/id/geography/administration/ua/E06000007,Warrington E06000007,1.5
http://opendatacommunities.org/id/geography/administration/ua/E06000037,West Berkshire E06000037,0.6
http://opendatacommunities.org/id/geography/administration/ua/E06000054,Wiltshire E06000054,0.9
http://opendatacommunities.org/id/geography/administration/ua/E06000040,Windsor and Maidenhead E06000040,0.8
http://opendatacommunities.org/id/geography/administration/ua/E06000041,Wokingham E06000041,0.6
http://opendatacommunities.org/id/geography/administration/ua/E06000014,York E06000014,0.7
http://opendatacommunities.org/id/geography/administration/nmd/E07000223,Adur E07000223,1.2
http://opendatacommunities.org/id/geography/administration/nmd/E07000026,Allerdale E07000026,1.9
http://opendatacommunities.org/id/geography/administration/nmd/E07000032,Amber Valley E07000032,1.2
http://opendatacommunities.org/id/geography/administration/nmd/E07000224,Arun E07000224,1.2
http://opendatacommunities.org/id/geography/administration/nmd/E07000170,Ashfield E07000170,1.9
http://opendatacommunities.org/id/geography/administration/nmd/E07000105,Ashford E07000105,1.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000004,Aylesbury Vale E07000004,0.8
http://opendatacommunities.org/id/geography/administration/nmd/E07000200,Babergh E07000200,0.8
http://opendatacommunities.org/id/geography/administration/lonb/E09000002,Barking and Dagenham E09000002,2.5
http://opendatacommunities.org/id/geography/administration/lonb/E09000003,Barnet E09000003,1.4
http://opendatacommunities.org/id/geography/administration/md/E08000016,Barnsley E08000016,2.2
http://opendatacommunities.org/id/geography/administration/nmd/E07000027,Barrow-in-Furness E07000027,2.7
http://opendatacommunities.org/id/geography/administration/nmd/E07000066,Basildon E07000066,1.8
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,Basingstoke and Deane E07000084,0.8
http://opendatacommunities.org/id/geography/administration/nmd/E07000171,Bassetlaw E07000171,1.7
http://opendatacommunities.org/id/geography/administration/lonb/E09000004,Bexley E09000004,1.3
http://opendatacommunities.org/id/geography/administration/md/E08000025,Birmingham E08000025,4.3
http://opendatacommunities.org/id/geography/administration/nmd/E07000129,Blaby E07000129,0.7
http://opendatacommunities.org/id/geography/administration/nmd/E07000033,Bolsover E07000033,1.4
http://opendatacommunities.org/id/geography/administration/md/E08000001,Bolton E08000001,3
http://opendatacommunities.org/id/geography/administration/nmd/E07000136,Boston E07000136,1.5
http://opendatacommunities.org/id/geography/administration/md/E08000032,Bradford E08000032,2.7
http://opendatacommunities.org/id/geography/administration/nmd/E07000067,Braintree E07000067,1.1
http://opendatacommunities.org/id/geography/administration/nmd/E07000143,Breckland E07000143,1.1
http://opendatacommunities.org/id/geography/administration/lonb/E09000005,Brent E09000005,2.3
http://opendatacommunities.org/id/geography/administration/nmd/E07000068,Brentwood E07000068,0.8
http://opendatacommunities.org/id/geography/administration/nmd/E07000144,Broadland E07000144,0.7
http://opendatacommunities.org/id/geography/administration/lonb/E09000006,Bromley E09000006,1.1
http://opendatacommunities.org/id/geography/administration/nmd/E07000234,Bromsgrove E07000234,1
http://opendatacommunities.org/id/geography/administration/nmd/E07000095,Broxbourne E07000095,1.2
http://opendatacommunities.org/id/geography/administration/nmd/E07000172,Broxtowe E07000172,1.4
http://opendatacommunities.org/id/geography/administration/nmd/E07000117,Burnley E07000117,3.1
http://opendatacommunities.org/id/geography/administration/md/E08000002,Bury E08000002,2.3
http://opendatacommunities.org/id/geography/administration/md/E08000033,Calderdale E08000033,2
http://opendatacommunities.org/id/geography/administration/nmd/E07000008,Cambridge E07000008,0.8
http://opendatacommunities.org/id/geography/administration/lonb/E09000007,Camden E09000007,1.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000192,Cannock Chase E07000192,1.2
http://opendatacommunities.org/id/geography/administration/nmd/E07000106,Canterbury E07000106,1.3
http://opendatacommunities.org/id/geography/administration/nmd/E07000028,Carlisle E07000028,1.3
http://opendatacommunities.org/id/geography/administration/nmd/E07000069,Castle Point E07000069,1.3
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,Charnwood E07000130,0.7
http://opendatacommunities.org/id/geography/administration/nmd/E07000070,Chelmsford E07000070,1.1
http://opendatacommunities.org/id/geography/administration/nmd/E07000078,Cheltenham E07000078,1
http://opendatacommunities.org/id/geography/administration/nmd/E07000177,Cherwell E07000177,0.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000034,Chesterfield E07000034,1.8
http://opendatacommunities.org/id/geography/administration/nmd/E07000225,Chichester E07000225,1
http://opendatacommunities.org/id/geography/administration/nmd/E07000005,Chiltern E07000005,0.7
http://opendatacommunities.org/id/geography/administration/nmd/E07000118,Chorley E07000118,1.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000048,Christchurch E07000048,1
http://opendatacommunities.org/id/geography/administration/lonb/E09000001,City of London E09000001,0.9
http://opendatacommunities.org/id/geography/administration/nmd/E07000071,Colchester E07000071,1.2
http://opendatacommunities.org/id/geography/administration/nmd/E07000029,Copeland E07000029,2.3
