transactions,title,author,class
91,Harry Potter and the chamber of secrets,"Rowling, J. K.",JF
78,Harry Potter and the philosopher's stone,"Rowling, J. K.",JF
77,Diary of a wimpy kid: hard luck,"Kinney, Jeff",JF
73,George's marvellous medicine,"Dahl, Roald",JF
72,Charlie and the chocolate factory,"Dahl, Roald",JF
70,Diary of a wimpy kid: cabin fever,"Kinney, Jeff",JF
70,Matilda,"Dahl, Roald",JF
69,Ratburger,"Walliams, David",JF
65,Diary of a wimpy kid: the third wheel,"Kinney, Jeff",JF
65,Fantastic Mr Fox,"Dahl, Roald",JF
65,Gangsta granny,"Walliams, David",JF
25,Rollo and Ruff and the little fluffy bird,"Inkpen, Mick",JF
