,how_many,title,author,media_type,category_name
3964,6,Lights,"Goulding, Ellie",CD,Compact Disc
4122,6,Now that's what I call music! 91,,CD,Compact Disc
4123,6,Now that's what I call rock,,CD,Compact Disc Set
4550,5,100 hits: 90s classics,,CD,Compact Disc Set
4684,5,Best of Bowie,"Bowie, David",CD,Compact Disc
4685,5,Best of Nickelback,Nickelback,CD,Compact Disc
4814,5,Chilled R&B: The very best of,,CD,Compact Disc Set
5039,5,Endless river,Pink Floyd,CD,Compact Disc
5227,5,Head full of dreams,Coldplay,CD,Compact Disc
5242,5,Hold you,Gyptian,CD,Compact Disc
