,how_many,title,author,media_type,category_name
328,20,Perks of being a wallflower,"Chbosky, Stephen",Paperback,Teen Fiction
512,16,Curious incident of the dog in the night-time,"Haddon, Mark",Paperback,Teen Fiction
800,13,Big beefy book of Bart Simpson,"Groening, Matt",Paperback,Teen Fiction
1181,11,Dollars to donuts,,Graphic Novel,Teen Fiction
1197,11,Fault in our stars,"Green, John",Paperback,Teen Fiction
1261,11,Monster calls,"Ness, Patrick",Paperback,Teen Fiction
1309,11,Simpsons comic a-go-go,"Groening, Matt",Graphic Novel,Teen Fiction
1388,10,Bart Simpson: class clown,"Groening, Matt",Graphic Novel,Teen Fiction
1394,10,Big brilliant book of Bart Simpson,,Graphic Novel,Teen Fiction
1493,10,Hunger games,"Collins, Suzanne",Paperback,Teen Fiction
